name,url,feed_url,category,description
Towards Data Science,https://towardsdatascience.com,https://towardsdatascience.com/feed,ml,데이터 사이언스 & 머신러닝 블로그
The Gradient,https://thegradient.pub,https://thegradient.pub/rss,ml,AI 연구 에세이
Distill,https://distill.pub,https://distill.pub/rss.xml,ml,머신러닝 시각적 설명
Colah's Blog,https://colah.github.io,https://colah.github.io/rss.xml,ml,딥러닝 직관적 설명
Lil'Log,https://lilianweng.github.io,https://lilianweng.github.io/index.xml,ml,AI 연구 정리
Jay Alammar,https://jalammar.github.io,https://jalammar.github.io/feed,ml,트랜스포머 시각화
Martin Fowler,https://martinfowler.com,https://martinfowler.com/feed.atom,programming,소프트웨어 아키텍처
Dan Abramov,https://overreacted.io,https://overreacted.io/rss.xml,programming,React 핵심 개발자 블로그
CSS-Tricks,https://css-tricks.com,https://css-tricks.com/feed,programming,웹 개발 팁
Smashing Magazine,https://www.smashingmagazine.com,https://www.smashingmagazine.com/feed,art,웹 디자인 & UX
A List Apart,https://alistapart.com,https://alistapart.com/main/feed,art,웹 디자인 에세이
Codrops,https://tympanus.net/codrops,https://tympanus.net/codrops/feed,art,크리에이티브 웹 개발
The Verge,https://www.theverge.com,https://www.theverge.com/rss/index.xml,tech,기술 뉴스
Ars Technica,https://arstechnica.com,https://feeds.arstechnica.com/arstechnica/index,tech,기술 심층 분석
TechCrunch,https://techcrunch.com,https://techcrunch.com/feed,tech,스타트업 & 기술 뉴스
